,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,0.8166666666666228,5.345000000000031,5.345000000000031
1,SAMPL8-2,1.7899999999999245,2.5966666666666343,2.5966666666666343
2,SAMPL8-3,1.0666666666665954,1.633333333333305,1.633333333333305
3,SAMPL8-4,-0.6366666666667378,2.656666666666682,2.656666666666682
4,SAMPL8-5,0.696666666666597,1.2766666666666397,1.2766666666666397
5,SAMPL8-6,-0.103333333333401,0.8233333333333531,0.8233333333333531
6,SAMPL8-7,1.9533333333332668,3.206666666666647,3.206666666666647
7,SAMPL8-8,0.08666666666660339,1.7666666666666604,1.7666666666666604
8,SAMPL8-9,1.1033333333332715,2.0766666666667013,2.0766666666667013
9,SAMPL8-10,-0.7433333333334113,1.4366666666666885,1.4366666666666885
10,SAMPL8-12,1.8199999999999494,3.366666666666689,3.366666666666689
11,SAMPL8-14,-2.4700000000000526,3.5899999999999963,3.5899999999999963
12,SAMPL8-15,0.5933333333332689,1.9333333333333265,1.9333333333333265
13,SAMPL8-16,0.09999999999992859,1.600000000000018,1.600000000000018
14,SAMPL8-17,0.28666666666660606,2.426666666666701,2.426666666666701
15,SAMPL8-18,1.8966666666666134,3.1833333333333385,3.1833333333333385
16,SAMPL8-19,0.5316666666665903,1.7816666666666592,1.7816666666666592
17,SAMPL8-20,-3.898333333333379,5.001666666666688,5.001666666666688
18,SAMPL8-21,2.8699999999999526,3.683333333333355,3.683333333333355
19,SAMPL8-22,4.506666666666621,5.346666666666661,5.346666666666661
20,SAMPL8-23,0.5566666666665908,1.2049999999999816,1.2049999999999816
