,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-10,1,8.299999999999919,7.71,0.589999999999919
1,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-12,-1,14.499999999999893,6.98,7.519999999999893
2,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-12,1,8.499999999999915,6.98,1.5199999999999143
3,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-12,2,2.699999999999939,6.98,4.2800000000000615
4,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,-2,13.599999999999898,7.27,6.329999999999899
5,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,-1,9.69999999999991,7.27,2.429999999999911
6,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,1,8.599999999999916,7.27,1.3299999999999166
7,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,2,3.3999999999999346,7.27,3.870000000000065
8,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-15,1,3.8999999999999346,2.54,1.3599999999999346
9,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,-2,12.099999999999902,5.1,6.999999999999902
10,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,-1,10.69999999999991,5.1,5.599999999999911
11,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,1,6.699999999999925,5.1,1.599999999999925
12,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-17,-1,11.499999999999908,6.58,4.919999999999908
13,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-17,1,7.299999999999919,6.58,0.7199999999999189
14,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-18,-1,11.199999999999907,2.72,8.479999999999906
15,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-18,1,5.199999999999928,2.72,2.479999999999928
16,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,-1,6.699999999999925,4.93,1.769999999999925
17,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,-1,6.699999999999925,6.99,0.29000000000007553
18,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,1,5.999999999999925,4.93,1.0699999999999257
19,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,1,5.999999999999925,6.99,0.9900000000000748
20,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,2,3.3999999999999346,4.93,1.530000000000065
21,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,2,3.3999999999999346,6.99,3.5900000000000656
22,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,2.54,1.0599999999999339
23,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,5.01,1.4100000000000659
24,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,1,-0.6000000000000512,2.54,3.140000000000051
25,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,1,-0.6000000000000512,5.01,5.610000000000051
26,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,-1,10.099999999999909,2.44,7.6599999999999095
27,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,-1,10.099999999999909,11.44,1.3400000000000905
28,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,1,4.699999999999932,2.44,2.259999999999932
