,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,2.54,1.0599999999999339
1,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,5.01,1.4100000000000659
2,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-2,-1,3.8999999999999346,4.41,0.5100000000000655
3,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-3,-1,3.299999999999933,4.0,0.7000000000000668
4,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-4,-1,3.499999999999936,5.77,2.2700000000000635
5,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-5,-1,3.1999999999999353,3.92,0.7200000000000646
6,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-8,1,1.7999999999999403,2.78,0.9800000000000595
7,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-10,1,8.299999999999919,7.71,0.589999999999919
8,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,-1,9.69999999999991,7.27,2.429999999999911
9,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-15,1,3.8999999999999346,2.54,1.3599999999999346
10,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,1,6.699999999999925,5.1,1.599999999999925
11,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-17,-1,11.499999999999908,6.58,4.919999999999908
12,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,1,4.699999999999932,2.44,2.259999999999932
13,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,1,4.699999999999932,11.44,6.740000000000068
14,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-21,-1,8.599999999999916,5.38,3.2199999999999163
15,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-22,-1,12.4999999999999,3.36,9.139999999999901
